agency_name,site_name,specialty,specialty_desc,nokids_notherapy,nokids_notherapy_desc,not_applicable,not_applicable_desc,site_city,site_zip_code,site_county,population_simple,type,address,phone,date_called,reached,new_patients,wait_time,weeks_low,weeks_high,weeks_mean,months_low,months_high,lat,long,geometry
NYU Langone Hospitals,Sunset Park Mental Health Center - PS/MS 282 Satellite,,,,,,,Brooklyn,11217.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6766719,-73.977631,"[-73.977631, 40.6766719]"
NYU Langone Hospitals,Sunset Park Mental Health Center - Sunset Park HS Satellite,,,,,,,Brooklyn,11232.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6560436,-74.0079781,"[-74.0079781, 40.6560436]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Aleksander,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6483744,-73.9800645,"[-73.9800645, 40.6483744]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Tziporah,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6388213,-73.9827734,"[-73.9827734, 40.6388213]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Gan Yisroel,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6416055,-73.9827734,"[-73.9827734, 40.6416055]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at UTA - Bais Rochel,,,,,,,Brooklyn,11211.0,Kings,Adolescents,School,,,,,,,,,,,,40.7046644,-73.9523924,"[-73.9523924, 40.7046644]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ UTA - Torah V'Yirah,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7012551,-73.94558359999999,"[-73.94558359999999, 40.7012551]"
NYC-HHC Kings County Hospital Center,Ryder Elementary School P.S. 114,,,,,,,Brooklyn,11236.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6426492,-73.908012,"[-73.908012, 40.6426492]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Chsan Sofer,,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6263448,-73.98015629999999,"[-73.98015629999999, 40.6263448]"
New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S. 116,,,,,,,Brooklyn,11237.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6980563,-73.91649579999999,"[-73.91649579999999, 40.6980563]"
New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S. 145,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.70165679999999,-73.9322329,"[-73.9322329, 40.70165679999999]"
New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S. 274,,,,,,,Brooklyn,11221.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.69464199999999,-73.9278137,"[-73.9278137, 40.69464199999999]"
New York Psychotherapy and Counseling Center,NYPCC School-based Clinic at P.S./I.S. 377,,,,,,,Brooklyn,11221.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6937526,-73.9149302,"[-73.9149302, 40.6937526]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Yagdil Torah,,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6270721,-73.98255069999999,"[-73.98255069999999, 40.6270721]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Chaya - Staten,,,,,,,Staten Island,10314.0,Richmond,Children & Adolescents,School,,,,,,,,,,,,40.6082659,-74.1447551,"[-74.1447551, 40.6082659]"
"Ohel Children's Home & Family Services, Inc.",Ohel Tikvah Clinic @ Bnos Malka Academy,,,,,,,Forest Hills,11375.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7228388,-73.83827649999999,"[-73.83827649999999, 40.7228388]"
"Ohel Children's Home & Family Services, Inc.",Ohel Tikvah Clinic @ Chabad ELC and the Academy of Art and,,,,,,,Bayside,11360.0,Queens,Children,School,,,,,,,,,,,,40.7780367,-73.77726390000001,"[-73.77726390000001, 40.7780367]"
"Ohel Children's Home & Family Services, Inc.",Ohel Tikvah School Clinic Satellite,,,,,,,Staten Island,10314.0,Richmond,Children & Adolescents,School,,,,,,,,,,,,40.61444789999999,-74.1503287,"[-74.1503287, 40.61444789999999]"
"Ohel Children's Home & Family Services, Inc.",Yeshiva Shaarei Zion School Satellite,,,,,,,Forest Hills,11375.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7188646,-73.8347845,"[-73.8347845, 40.7188646]"
NYU Langone Hospitals,South Shore Educational Complex,,,,,,,Brooklyn,11236.0,Kings,Adolescents,School,,,,,,,,,,,,40.6336811,-73.91751959999999,"[-73.91751959999999, 40.6336811]"
NYU Langone Hospitals,Frank J. Macchiarola Educational Co,,,,,,,Brooklyn,11235.0,Kings,Adolescents,School,,,,,,,,,,,,40.5935047,-73.9368992,"[-73.9368992, 40.5935047]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Esther School - Klausenberg Boys,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6454569,-73.9938154,"[-73.9938154, 40.6454569]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Esther School - Klausenberg Girls,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6335974,-73.9909851,"[-73.9909851, 40.6335974]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Belz Yeshiva (Boys),,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.635029,-73.9811486,"[-73.9811486, 40.635029]"
"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah @ Belz Yeshiva (Boys), K-3",,,,,,,Brooklyn,11230.0,Kings,Children,School,,,,,,,,,,,,40.6277932,-73.9704682,"[-73.9704682, 40.6277932]"
NYU Langone Hospitals,Sunset Park Mental Health Center - Juan Morel Campos Seconda,,,,,,,Brooklyn,11206.0,Kings,Adolescents,School,,,,,,,,,,,,40.7039101,-73.9537081,"[-73.9537081, 40.7039101]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Belz - Girls School,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6395637,-73.9792834,"[-73.9792834, 40.6395637]"
NYU Langone Hospitals,George Wingate Educational Complex,,,,,,,Brooklyn,11203.0,Kings,Adolescents,School,,,,,,,,,,,,40.6593652,-73.9431462,"[-73.9431462, 40.6593652]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Central UTA - Satmar Girls School,,,,,,,Brooklyn,11205.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6985763,-73.9583959,"[-73.9583959, 40.6985763]"
Jewish Board of Family & Children's Services,Crossroads Counseling Center,,,,,,,New York,10020.0,New York,Adolescents,Community,,Intake,8/2/22,yes,yes,second week september,6.0,7.0,6.5,1.5,1.75,40.76088559999999,-73.9825548,"[-73.9825548, 40.76088559999999]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Kehilath Yakov - Pupa Boys School,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6400784,-73.9979268,"[-73.9979268, 40.6400784]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Kehilath Yakov - Pupa Girls School,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6384179,-73.98456399999999,"[-73.98456399999999, 40.6384179]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Krasna Yeshiva,,,,,,,Brooklyn,10467.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6339619,-73.98211599999999,"[-73.98211599999999, 40.6339619]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Viznitz Boys School,,,,,,,Brooklyn,11211.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7071529,-73.96191619999999,"[-73.96191619999999, 40.7071529]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Viznitz Girls School,,,,,,,Brooklyn,11249.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.698906,-73.9590979,"[-73.9590979, 40.698906]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ YOB GHS,,,,,,,Brooklyn,11230.0,Kings,Adolescents,School,,,,,,,,,,,,40.6128214,-73.9690907,"[-73.9690907, 40.6128214]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Yeshiva Ohr Moshe,,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.623237,-73.9864693,"[-73.9864693, 40.623237]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Yeshiva of Brooklyn,,,,,,,Brooklyn,11230.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.61955409999999,-73.9701927,"[-73.9701927, 40.61955409999999]"
"Pesach Tikvah-Hope Development, Inc.","Pesach Tikvah at Bobover Yeshiva Bnei Zion, Inc.",,,,,,,Brooklyn,11219.0,Kings,Children,School,,,,,,,,,,,,40.6325611,-73.9860791,"[-73.9860791, 40.6325611]"
"Northside Center for Child Development, Inc.",KIPP NYC College Prep Satellite,,,,,,,Bronx,10451.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8162132,-73.9261973,"[-73.9261973, 40.8162132]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at United Talmudic Academy,,,,,,,Brooklyn,11211.0,Kings,Children,School,,,,,,,,,,,,40.703987,-73.9637549,"[-73.9637549, 40.703987]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Arugath Habosem,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7003907,-73.9558157,"[-73.9558157, 40.7003907]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Imrei Chaim Viznitz,,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6255171,-73.9827734,"[-73.9827734, 40.6255171]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Kehilath Yaakov,,,,,,,Brooklyn,11211.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7068885,-73.95970009999999,"[-73.95970009999999, 40.7068885]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Yeshiva Mevakshei Hashem,,,,,,,Brooklyn,11218.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6345782,-73.9730395,"[-73.9730395, 40.6345782]"
"Northside Center for Child Development, Inc.",Central Park East I,,,,,,,New York,10029.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.793857,-73.948933,"[-73.948933, 40.793857]"
"Northside Center for Child Development, Inc.",Northside Behavioral Health at Alain Locke,,,,,,,New York,10026.0,New York,Children,School,,,,,,,,,,,,40.7983413,-73.9504528,"[-73.9504528, 40.7983413]"
Astor Services for Children & Families,Astor at Highbridge Clinic,,,,,,,Bronx,10452.0,Bronx,Children & Adolescents,Community,1419 SHAKESPEARE AVE,(718) 732-7080,7/7/2022,yes,no,no list,,,,,,40.8424225,-73.921182,"[-73.921182, 40.8424225]"
Astor Services for Children & Families,Kips Bay Palmero Clubhouse,,,,,,,Bronx,10473.0,Bronx,Children & Adolescents,Community,,,8/4/22,voicemail,,,,,,,,40.8173824,-73.8567005,"[-73.8567005, 40.8173824]"
Association to Benefit Children,Fast Break at P.S. 206,,,,,,,New York,10035.0,New York,Children,School,,,,,,,,,,,,40.7969061,-73.9299784,"[-73.9299784, 40.7969061]"
Mount Sinai Medical Center,Julia Richman Educational Complex,,,,,,,New York,10065.0,New York,Adolescents,School,,,,,,,,,,,,40.7653683,-73.9596962,"[-73.9596962, 40.7653683]"
Mount Sinai Medical Center,Manhattan Center for Science and Mathematics,,,,,,,New York,10029.0,New York,Adolescents,School,,,,,,,,,,,,40.7940732,-73.93290520000001,"[-73.93290520000001, 40.7940732]"
Community Association of Progressive Dominica,The Audubon Ballroom Family Center School Satellite @ IS117X,,,,,,,Bronx,10453.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8485816,-73.9087503,"[-73.9087503, 40.8485816]"
"BALANCE Eating Disorder Center, LLC",BALANCE Eating Disorder Center Clinic,Y,16+ with eating disorder,Y,do not offer individual therapy,,,New York,10010.0,New York,Adolescents,Community,,,,yes,,,,,,,,40.7406453,-73.99186399999999,"[-73.99186399999999, 40.7406453]"
Graham-Windham Services for Families & Childr,Graham-Windham Services @ PS 123 The Mahalia Jackson School,,,,,,,New York,10030.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8203373,-73.9443402,"[-73.9443402, 40.8203373]"
Henry Street Settlement,Henry Street Settlement Community Consultation Center,,,Y,"receptionist said they don't take children or adolscents, just 18+",,,New York,10002.0,New York,Children & Adolescents,Community,40 MONTGOMERY ST,212-233-5032,,yes,,,,,,,,40.7126971,-73.9857348,"[-73.9857348, 40.7126971]"
Henry Street Settlement,Henry Street Settlement School,,,,,,,New York,10002.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7134455,-73.9860332,"[-73.9860332, 40.7134455]"
Henry Street Settlement,School Based Mental Health P.S. 134/P.S. 137,,,,,,,New York,10002.0,New York,Children,School,,,,,,,,,,,,40.7142834,-73.982957,"[-73.982957, 40.7142834]"
Henry Street Settlement,School Based Mental Health PS 140,,,,,,,New York,10002.0,New York,Children,School,,,,,,,,,,,,40.7174779,-73.98385189999999,"[-73.98385189999999, 40.7174779]"
Henry Street Settlement,School Based Mental Health PS 142,,,,,,,New York,10002.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.907574,-73.89821429999999,"[-73.89821429999999, 40.907574]"
Henry Street Settlement,School Based Mental Health PS 20,,,,,,,New York,10002.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.90351810000001,-73.8989368,"[-73.8989368, 40.90351810000001]"
Hudson Guild Counseling Service,James Baldwin School,,,,,,,New York,10011.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7431364,-74.0025192,"[-74.0025192, 40.7431364]"
Jewish Board of Family & Children's Services,JBFCS - HS of Environmental Studies Satellite,,,,,,,New York,10019.0,New York,Adolescents,School,,,,,,,,,,,,40.7677451,-73.98809920000001,"[-73.98809920000001, 40.7677451]"
Jewish Board of Family & Children's Services,JBFCS - IS 188 Satellite,,,,,,,New York,10002.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7198989,-73.9773555,"[-73.9773555, 40.7198989]"
Jewish Board of Family & Children's Services,JBFCS - PS 116 Satellite,,,,,,,New York,10016.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.74449660000001,-73.9776384,"[-73.9776384, 40.74449660000001]"
Jewish Board of Family & Children's Services,JBFCS - PS 15 Satellite,,,,,,,New York,10009.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7219088,-73.9787369,"[-73.9787369, 40.7219088]"
Jewish Board of Family & Children's Services,JBFCS - PS 41 Satellite,,,,,,,New York,10011.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7355874,-73.9992096,"[-73.9992096, 40.7355874]"
Jewish Board of Family & Children's Services,JBFCS - PS/IS 111 Satellite,,,,,,,New York,10019.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7660107,-73.9897148,"[-73.9897148, 40.7660107]"
Jewish Board of Family & Children's Services,JBFCS - PS/IS 126 Satellite,,,,,,,New York,10038.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7105672,-73.9970098,"[-73.9970098, 40.7105672]"
Jewish Board of Family & Children's Services,Stuyvesant High School,,,,,,,New York,10282.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7181492,-74.0137623,"[-74.0137623, 40.7181492]"
Jewish Board of Family & Children's Services,The Equity Project Charter School,,,,,,,New York,10034.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8642931,-73.92298509999999,"[-73.92298509999999, 40.8642931]"
"Northside Center for Child Development, Inc.",Northside Center for Child Developm,,,,,Y,children under 5,New York,10002.0,New York,Children,Community,,,,yes,,,,,,,,40.7139708,-73.9883747,"[-73.9883747, 40.7139708]"
Jewish Board of Family & Children's Services,TEP Elementary School Campus,,,,,,,New York,10040.0,New York,Children,School,,,,,,,,,,,,40.8569571,-73.92659789999999,"[-73.92659789999999, 40.8569571]"
Mount Sinai Medical Center,Mount Sinai Pediatric Clinic Satellite,,,Y,receptionist said they no longer offer mental health appointments at this location,,,New York,10029.0,New York,Children & Adolescents,Community,,,,yes,,,,,,,,40.7899317,-73.9524122,"[-73.9524122, 40.7899317]"
"Metropolitan Center for Mental Health, Inc.",MCMH @ Alfred E Smith School-PS163,,,,,,,New York,10025.0,New York,Children,School,,,,,,,,,,,,40.7948887,-73.9684479,"[-73.9684479, 40.7948887]"
"Metropolitan Center for Mental Health, Inc.",MCMH @ Lillian Weber School - PS 84,,,,,,,New York,10025.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7894371,-73.9680806,"[-73.9680806, 40.7894371]"
"Postgraduate Center for Mental Health, Inc.",Support Center for Individuals and Families,,,Y,receptionist said they only work with adults,,,New York,10001.0,New York,Children & Adolescents,Community,"213 WEST 35TH STREET,",(212) 576 4104,,yes,,,,,,,,40.752121,-73.9907064,"[-73.9907064, 40.752121]"
"St. Mark's Place Institute for Mental Health,",St. Mark's Place Institute - Unitas Clinic,,,Y,receptionist said they are not accepting child patients anymore,,,New York,10003.0,New York,Children & Adolescents,Community,,(212) 982-3470,,yes,,,,,,,,40.7282717,-73.98642339999999,"[-73.98642339999999, 40.7282717]"
Mount Sinai Medical Center,Bayard Rustin Educational Complex School Clinic Satellite,,,,,,,New York,10011.0,New York,Adolescents,School,,,,,,,,,,,,40.7431364,-74.0025192,"[-74.0025192, 40.7431364]"
Jewish Board of Family & Children's Services,Be'er Hagolah Institutes,,,,,,,Brooklyn,11239.0,Kings,Adolescents,School,,,,,,,,,,,,40.6460097,-73.88321619999999,"[-73.88321619999999, 40.6460097]"
Jewish Board of Family & Children's Services,Beth Rivkah,,,,,,,Brooklyn,11225.0,Kings,Adolescents,School,,,,,,,,,,,,40.6659617,-73.9498508,"[-73.9498508, 40.6659617]"
St. Luke's-Roosevelt Hospital Center dba MSM,"PS 325, PS 192 - Jacob H. Schiff School & Hamilton Grange MS",,,,,,,New York,10031.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8210016,-73.9533407,"[-73.9533407, 40.8210016]"
New York City Children's Center,Queens Mid-Childhood Clinic at PS 169,,,,,,,New York,10128.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7808828,-73.95565959999999,"[-73.95565959999999, 40.7808828]"
Jewish Board of Family & Children's Services,Oholei Torah,,,,,,,Brooklyn,11213.0,Kings,Adolescents,School,,,,,,,,,,,,40.6700567,-73.9457638,"[-73.9457638, 40.6700567]"
"Ohel Children's Home & Family Services, Inc.",Ohel @ Bnos Bais Yaakov,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.60076610000001,-73.7456103,"[-73.7456103, 40.60076610000001]"
"Northside Center for Child Development, Inc.",East Harlem Scholars Academy HS Sat,,,,,,,New York,10128.0,New York,Adolescents,School,,,,,,,,,,,,40.7832167,-73.9460393,"[-73.9460393, 40.7832167]"
"Northside Center for Child Development, Inc.",KIPP Infinity School Satellite,,,,,,,New York,10027.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8198495,-73.95550469999999,"[-73.95550469999999, 40.8198495]"
"Ohel Children's Home & Family Services, Inc.",Ohel - Tikvah Clinic @ Jewish Inst,,,,,,,Elmhurst,11373.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7311464,-73.8708995,"[-73.8708995, 40.7311464]"
"Northside Center for Child Development, Inc.",Northside Behavioral Health at KIPP Academy,,,,,,,Bronx,10451.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8224876,-73.9215612,"[-73.9215612, 40.8224876]"
"Northside Center for Child Development, Inc.",Northside Behavioral Health at P.S. 161,,,,,,,New York,10027.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.81775520000001,-73.9524683,"[-73.9524683, 40.81775520000001]"
"Northside Center for Child Development, Inc.",Northside Behavioral Health: EHSA,,,,,,,New York,10029.0,New York,Children,School,,,,,,,,,,,,40.7902029,-73.9425632,"[-73.9425632, 40.7902029]"
"Northside Center for Child Development, Inc.",Northside Behavioral Health: EHSA 2,,,,,,,New York,10029.0,New York,Children,School,,,,,,,,,,,,40.7852572,-73.94251539999999,"[-73.94251539999999, 40.7852572]"
The Children's Aid Society,CAS School Based Clinic - Curtis H.S.,,,,,,,Staten Island,10301.0,New York,Adolescents,School,,,,,,,,,,,,40.645061,-74.0819432,"[-74.0819432, 40.645061]"
The Children's Aid Society,CAS School Based Clinic - I.S. 218,,,,,,,New York,10040.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8609569,-73.9301716,"[-73.9301716, 40.8609569]"
The Children's Aid Society,I.S. 90,,,,,,,New York,10032.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.839456,-73.9357066,"[-73.9357066, 40.839456]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Karlin Stolin,,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.624899,-73.98332429999999,"[-73.98332429999999, 40.624899]"
The New York Foundling,NY Foundling @ PS 36 - The Margaret Douglas School,,,,,,,New York,10027.0,New York,Children,School,,,,,,,,,,,,40.8106604,-73.9573358,"[-73.9573358, 40.8106604]"
The New York Foundling,New York Foundling @ Horace Greeley School - IS 10,,,,,,,Astoria,11103.0,Queens,Adolescents,School,,,,,,,,,,,,40.7594986,-73.9122378,"[-73.9122378, 40.7594986]"
The New York Foundling,"New York Foundling Wellness Center @ HS of Math, Sci, & Eng",,,,,,,New York,10031.0,New York,Adolescents,School,,,,,,,,,,,,40.8214739,-73.94903889999999,"[-73.94903889999999, 40.8214739]"
The New York Foundling,New York Foundling at IS 584 - Bronx,,,,,,,Bronx,10455.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8148083,-73.9120169,"[-73.9120169, 40.8148083]"
The New York Foundling,Satellite Clinic at PS 149 Sojourner Truth,,,,,,,New York,10026.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.802645,-73.9481517,"[-73.9481517, 40.802645]"
The New York Foundling,Satellite Clinic at PS 96 Joseph Lanzetta,,,,,,,New York,10035.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8000808,-73.9373659,"[-73.9373659, 40.8000808]"
Richmond Medical Center dba Richmond UMC,Dongan Hills Satellite,,,,,Y,children under 5,Staten Island,10306.0,Richmond,Children,Community,,,,yes,,,,,,,,40.5876782,-74.1009114,"[-74.1009114, 40.5876782]"
Richmond Medical Center dba Richmond UMC,Osgood Satellite,,,,,Y,children under 5,Staten Island,10304.0,Richmond,Children,Community,,,,yes,,,,,,,,40.6187476,-74.0853664,"[-74.0853664, 40.6187476]"
The New York Presbyterian Hospital,P.S. 128 School Satellite,,,,,,,New York,10032.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8409822,-73.9387394,"[-73.9387394, 40.8409822]"
The New York Presbyterian Hospital,P.S. 132 School Satellite,,,,,,,New York,10033.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8505665,-73.9339155,"[-73.9339155, 40.8505665]"
The New York Presbyterian Hospital,P.S. 145 School Satellite,,,,,,,New York,10025.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7990784,-73.965096,"[-73.965096, 40.7990784]"
The New York Presbyterian Hospital,P.S. 152 School Satellite,,,,,,,New York,10040.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8601407,-73.92757780000001,"[-73.92757780000001, 40.8601407]"
The New York Presbyterian Hospital,P.S. 173 School Satellite,,,,,,,New York,10033.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8455807,-73.9394149,"[-73.9394149, 40.8455807]"
The New York Presbyterian Hospital,P.S. 187/M.S. 287 School Satellite,,,,,,,New York,10040.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8560964,-73.93703839999999,"[-73.93703839999999, 40.8560964]"
The New York Presbyterian Hospital,P.S. 189 School Satellite,,,,,,,New York,10040.0,New York,Children,School,,,,,,,,,,,,40.8531056,-73.9279452,"[-73.9279452, 40.8531056]"
The New York Presbyterian Hospital,P.S. 4 School Satellite,,,,,,,New York,10032.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.8348474,-73.9412036,"[-73.9412036, 40.8348474]"
The New York Presbyterian Hospital,P.S. 46 School Satellite,,,,,,,New York,10039.0,New York,Children,School,,,,,,,,,,,,40.8316474,-73.93607399999999,"[-73.93607399999999, 40.8316474]"
The New York Presbyterian Hospital,P.S. 48 School Satellite,,,,,,,New York,10033.0,New York,Children,School,,,,,,,,,,,,40.8533574,-73.9335421,"[-73.9335421, 40.8533574]"
Richmond Medical Center dba Richmond UMC,Port Richmond Satellite,,,,,Y,children under 5,Staten Island,10303.0,Richmond,Children,Community,,,,yes,,,,,,,,40.6331468,-74.16203709999999,"[-74.16203709999999, 40.6331468]"
Richmond Medical Center dba Richmond UMC,Kingsley Satellite,,,,,Y,children under 5,Staten Island,10301.0,Richmond,Children,Community,,,,yes,,,,,,,,40.6359312,-74.0889918,"[-74.0889918, 40.6359312]"
"Union Settlement Association, Inc.",PS 102 Jacques Cartier School,,,,,,,New York,10029.0,New York,Children,School,,,,,,,,,,,,40.79492219999999,-73.9383242,"[-73.9383242, 40.79492219999999]"
"Union Settlement Association, Inc.",PS 146 Anna M. Short School Satellite,,,,,,,New York,10029.0,New York,Children,School,,,,,,,,,,,,40.78919,-73.9378835,"[-73.9378835, 40.78919]"
"Union Settlement Association, Inc.","PS 72, The Lexington Academy",,,,,,,New York,10029.0,New York,Children,School,,,,,,,,,,,,40.865348,-73.8934562,"[-73.8934562, 40.865348]"
"Safe Horizon, Inc.",Safe Horizon Lotus House Satellite,,,,,Y,shelter,New York,10027.0,New York,Children & Adolescents,Community,,,,yes,,,,,,,,40.8138912,-73.96243270000001,"[-73.96243270000001, 40.8138912]"
University Settlement Society of New York,PS/MS 34 Franklin D Roosevelt Schoo,,,,,,,New York,10009.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7261446,-73.9750657,"[-73.9750657, 40.7261446]"
University Settlement Society of New York,Satellite at PS 64,,,,,,,New York,10009.0,New York,Children,School,,,,,,,,,,,,40.7238456,-73.9817633,"[-73.9817633, 40.7238456]"
University Settlement Society of New York,Satellite at Tompkins Square Middle School,,,,,,,New York,10009.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7238456,-73.9817633,"[-73.9817633, 40.7238456]"
University Settlement Society of New York,University Settlement at East Side High School,,,,,,,New York,10009.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7290533,-73.98250279999999,"[-73.98250279999999, 40.7290533]"
"Safe Horizon, Inc.",Safe Horizon Rose House Satellite,,,,,Y,shelter,New York,10027.0,New York,Children & Adolescents,Community,,,,yes,,,,,,,,40.8138912,-73.96243270000001,"[-73.96243270000001, 40.8138912]"
"Safe Horizon, Inc.",Streetwork Satellite,Y,homeless youth,,,,,New York,10027.0,Kings,Adolescents,Community,,,7/6/22,yes,yes,1 week,1.0,1.0,1.0,0.25,0.25,40.809416,-73.948754,"[-73.948754, 40.809416]"
